Unnamed: 0,Category,Title,Webindex,Company,Description,StemmedTitle,StemmedDescription
0.0,Healthcare_Nursing,Nurse (RGN/RMN),70627602,HC One Ltd,"Nurse (RGN/RMN) South East London Salary ****  **** per hour (dependent on level of experience) The ideal candidate will be a registered Nurse with a current NMC PIN and relevant experience working in a similar position within the care sector, preferably caring for elderly Residents. You will be responsible for administering prescribed medicines in accordance with HCOne s procedures and NMC guidelines, assessing all aspects of each Resident s care needs, whilst maintaining accurate records and ensuring that each Resident has an individualised Care Plan. The role includes delivering clinical excellence in a professional manner through direct Nursing care whilst effectively leading and supervising a multidisciplinary team. With a kind, caring and calm approach, the successful candidate will have excellent communication and interpersonal skills, along with the ability to establish and maintain relationships with Residents, relatives and colleagues. HCOne is a care home provider with a clear vision to provide the kindest care possible employing some of Britain s kindest and most professional people. Specialising in Dementia, Nursing, Residential and Specialist care, HCOne is the third largest provider of elderly care, with care homes situated throughout the UK. A company founded on the principles of accountability, involvement and partnership, HCOne is looking to appoint an experienced Nurse to join them on their exciting journey to provide the kindest possible care. The successful candidate will be subject to an enhanced DBS (Disclosure and Barring Service) / PVG / ACCESSNI disclosure check. For further information on HCOne, to view or apply online for any of our current vacancies please visit our website www.hcone.co.uk To request an application form please call HCOne s recruitment team on **** **** **** or email jobshcone.co.uk quoting vacancy ref HCO****",nurs ( rgn/rmn ),"nurs ( rgn/rmn ) south east london salari * * * * * * * * per hour ( depend on level of experi ) the ideal candid will be a regist nurs with a current nmc pin and relev experi work in a similar posit within the care sector , prefer care for elderli resid . you will be respons for administ prescrib medicin in accord with hcone s procedur and nmc guidelin , assess all aspect of each resid s care need , whilst maintain accur record and ensur that each resid ha an individualis care plan . the role includ deliv clinic excel in a profession manner through direct nurs care whilst effect lead and supervis a multidisciplinari team . with a kind , care and calm approach , the success candid will have excel commun and interperson skill , along with the abil to establish and maintain relationship with resid , rel and colleagu . hcone is a care home provid with a clear vision to provid the kindest care possibl employ some of britain s kindest and most profession peopl . specialis in dementia , nurs , residenti and specialist care , hcone is the third largest provid of elderli care , with care home situat throughout the uk . a compani found on the principl of account , involv and partnership , hcone is look to appoint an experienc nurs to join them on their excit journey to provid the kindest possibl care . the success candid will be subject to an enhanc db ( disclosur and bar servic ) / pvg / accessni disclosur check . for further inform on hcone , to view or appli onlin for ani of our current vacanc pleas visit our websit www.hcone.co.uk to request an applic form pleas call hcone s recruit team on * * * * * * * * * * * * or email jobshcone.co.uk quot vacanc ref hco * * * *"
1.0,Healthcare_Nursing,HCA Sexual Health  Family Planning  Day Surgery  Part Time  Norwich,72186225,JP Recruitment,"Position – HCA Sexual HealthSalary – ****  **** Pro rotaHours – Part Time 15hrs per weekLocation – Norfolk  NorwichMy client is a marketing focused, results oriented social enterprise. They develop efficient, effective and sustainable family planning and Sexual health services.They are currently looking for HCA’s with a genuine interested in sexual health and family planning services and ideally have experience of working in a Surgical environment .Candidates for the Norfolk Clinic may be expected to cover other centres within the Region from timetotime though travel expenses are covered.Key Responsibilities assisting in initial consultation of patients providing advice completion of computerised notes, registers and other paperwork blood samplingWard admission of clients to ward and completion of administration checking details on client notes and alerting surgeon/anaesthetist to any ‘significant conditions’ escorting clients to theatre utilising ‘Vocal Local’ (a conversational technique used to distract the client from the procedure) to support clients undergoing the procedure without a general anaesthetic monitoring observations and blood loss ensuring clients are informed about aftercareTheatre preparation and cleaning of theatre, sluice and recovery prior to, and after, each operating list sterilisation and preparation of instruments and soft packs for each procedure and cleaning and resterilising instruments following each procedure maintaining the theatre register assisting anaesthetist and surgeon where necessary assisting with recovery of client and transport back to wardDay Unit admission of clients to day unit and completion of administration checking details on client notes and alerting surgeon/anaesthetist to any ‘significant conditions’ preparation of treatment room, sterilisation and preparation of instruments cleaning treatment room and sluice, cleaning and resterilisation of instruments following each procedure escorting clients into treatment room and employing ‘Vocal Local’ to support clients during treatment ensuring clients are informed about aftercareSkills and Experience Qualifications: English Language and Mathematics to GCSE standard of equivalent Level 3 NVQ in Healthcare IT LiterateExperience: previous HCA experience (desirable) experience of working in a healthcare/clinic background experience and enjoyment of working with people experience of prioritising work Skills: ability to work as part of a team and liaise with people of all levels good listening and communication skills flexibility and willingness to travel to other centres with reasonable noticeFor more information please contact Holly Brace at JP Recruit on **** **** or **** **** **** alternatively email hollyjprec.co.uk",hca sexual health famili plan day surgeri part time norwich,"posit – hca sexual healthsalari – * * * * * * * * pro rotahour – part time 15hr per weekloc – norfolk norwichmi client is a market focus , result orient social enterpris . they develop effici , effect and sustain famili plan and sexual health services.they are current look for hca ’ s with a genuin interest in sexual health and famili plan servic and ideal have experi of work in a surgic environ .candid for the norfolk clinic may be expect to cover other centr within the region from timetotim though travel expens are covered.key respons assist in initi consult of patient provid advic complet of computeris note , regist and other paperwork blood samplingward admiss of client to ward and complet of administr check detail on client note and alert surgeon/anaesthetist to ani ‘ signific condit ’ escort client to theatr utilis ‘ vocal local ’ ( a convers techniqu use to distract the client from the procedur ) to support client undergo the procedur without a gener anaesthet monitor observ and blood loss ensur client are inform about aftercaretheatr prepar and clean of theatr , sluic and recoveri prior to , and after , each oper list sterilis and prepar of instrument and soft pack for each procedur and clean and resterilis instrument follow each procedur maintain the theatr regist assist anaesthetist and surgeon where necessari assist with recoveri of client and transport back to wardday unit admiss of client to day unit and complet of administr check detail on client note and alert surgeon/anaesthetist to ani ‘ signific condit ’ prepar of treatment room , sterilis and prepar of instrument clean treatment room and sluic , clean and resterilis of instrument follow each procedur escort client into treatment room and employ ‘ vocal local ’ to support client dure treatment ensur client are inform about aftercareskil and experi qualif : english languag and mathemat to gcse standard of equival level 3 nvq in healthcar it literateexperi : previou hca experi ( desir ) experi of work in a healthcare/clin background experi and enjoy of work with peopl experi of prioritis work skill : abil to work as part of a team and liais with peopl of all level good listen and commun skill flexibl and willing to travel to other centr with reason noticefor more inform pleas contact holli brace at jp recruit on * * * * * * * * or * * * * * * * * * * * * altern email hollyjprec.co.uk"
2.0,Healthcare_Nursing,"Deputy Manager, Nursing Home, Sittingbourne",68576341,UKStaffsearch,"uty Manager, Nursing Home, Sittingbourne White Recruitment is currently looking for a mature and responsible Registered Nurse (RGN) with a naturally caring nature to take the role of Deputy Manager for a large sized nursing home in Sittingbourne. As well as good care quality reports, the home boasts a comforting and caring atmosphere for the elderly and mentally infirm patients that it accommodates. My client is one of the leading companies in this provision of patient orientated care and they are looking for outstanding clinicians to join their ever expanding organisation Your role will include: **** hours/week","deputi manag , nurs home , sittingbourn","uti manag , nurs home , sittingbourn white recruit is current look for a matur and respons regist nurs ( rgn ) with a natur care natur to take the role of deputi manag for a larg size nurs home in sittingbourn . as well as good care qualiti report , the home boast a comfort and care atmospher for the elderli and mental infirm patient that it accommod . my client is one of the lead compani in thi provis of patient orient care and they are look for outstand clinician to join their ever expand organis your role will includ : * * * * hours/week"
3.0,Healthcare_Nursing,Deputy Home Manager  RN,71675717,Eclypse Recruitment,"Nursing Home Manager Required for Elderly Frail and Dementia Nursing Home in Weymouth, Dorset Eclypse recruitment is searching for an experienced Nurse Deputy Home manager to work within a large purpose built Nursing home, surrounded by gardens located in the Weymouth area of Dorset. My client is part of an independent group and has high expectations form their staff and strive to deliver excellent care. They have a large nursing home based in Weymouth, Dorset where they are currently looking to recruit a Deputy Home Manager to help the manager with the day to day running of the nursing home. The successful candidate will need to have experience in:  Management within a Care Home (at Deputy or Unit Manager Level)  Be a 1st Level RGN or RMN Nurse  Have strong up to date Clinical skills  Good knowledge of CQC  Ability to work well under pressure  General Nursing duties  Nursing of the elderly Our client is looking for a nurse deputy manager who is passionate about elderly care and is a strong leader of staff. You will work **** hours a week with on call duty every other weekend. This is a fantastic opportunity for the right candidate to join a strong team and to develop further. The client are looking to pay a salary of circa ****  **** for this post. Please send your CV to Becky at Eclypse Recruitment for more information. Key words: Deputy Home Manager, Dorset, Weymouth This job was originally posted as www.totaljobs.com/JobSeeking/DeputyHomeManagerRN_job****",deputi home manag rn,"nurs home manag requir for elderli frail and dementia nurs home in weymouth , dorset eclyps recruit is search for an experienc nurs deputi home manag to work within a larg purpos built nurs home , surround by garden locat in the weymouth area of dorset . my client is part of an independ group and ha high expect form their staff and strive to deliv excel care . they have a larg nurs home base in weymouth , dorset where they are current look to recruit a deputi home manag to help the manag with the day to day run of the nurs home . the success candid will need to have experi in : manag within a care home ( at deputi or unit manag level ) be a 1st level rgn or rmn nurs have strong up to date clinic skill good knowledg of cqc abil to work well under pressur gener nurs duti nurs of the elderli our client is look for a nurs deputi manag who is passion about elderli care and is a strong leader of staff . you will work * * * * hour a week with on call duti everi other weekend . thi is a fantast opportun for the right candid to join a strong team and to develop further . the client are look to pay a salari of circa * * * * * * * * for thi post . pleas send your cv to becki at eclyps recruit for more inform . key word : deputi home manag , dorset , weymouth thi job wa origin post as www.totaljobs.com/jobseeking/deputyhomemanagerrn_job * * * *"
4.0,Healthcare_Nursing,Deputy Practice Manager / Medical Receptionist,69688172,Werrington Village Surgery,"Werrington Village Surgery has vacancies for: Deputy Practice Manager c32hrs per week salary **** per annum. Previous experience in payroll, rotas, pension and IT is essential and previous experience in a GP surgery would be an advantage. Closing date:****/2/****13 Interview: ****/2/2****13 Medical Receptionist c****hrs, but can be up to full time to cover for sickness and holiday, so you must be very flexible; Previous experience in a GP surgery and knowledge of EMIS preferred, but full training can be given. Closing date:13/2/2013; Interview: 20/2/2013 For both roles you must be motivated, enthusiastic and a team player, with excellent communication skills. An information pack will be available on the Werrington Village Surgery Website notice board from the 1st February 2013 CV and covering letter to Peter Bailey, Werrington Village Surgery, Ash Bank Road, Werrington, ST**** 0JS, peter.baileynorthstaffs.nhs.uk If we have not contacted you within 1 week of the closing date you should assume your application was unsuccessful.",deputi practic manag / medic receptionist,"werrington villag surgeri ha vacanc for : deputi practic manag c32hr per week salari * * * * per annum . previou experi in payrol , rota , pension and it is essenti and previou experi in a gp surgeri would be an advantag . close date : * * * * /2/ * * * * 13 interview : * * * * /2/2 * * * * 13 medic receptionist c * * * * hr , but can be up to full time to cover for sick and holiday , so you must be veri flexibl ; previou experi in a gp surgeri and knowledg of emi prefer , but full train can be given . close date:13/2/2013 ; interview : 20/2/2013 for both role you must be motiv , enthusiast and a team player , with excel commun skill . an inform pack will be avail on the werrington villag surgeri websit notic board from the 1st februari 2013 cv and cover letter to peter bailey , werrington villag surgeri , ash bank road , werrington , st * * * * 0j , peter.baileynorthstaffs.nhs.uk if we have not contact you within 1 week of the close date you should assum your applic wa unsuccess ."
5.0,Healthcare_Nursing,Care Worker in WATFORD,71793578,Westminster Homecare,"Home Care Worker  Watford area (WD**** WD**** WD**** and WD****) Westminster Homecare are looking for a number of Home Care Assistant Jobs seekers in Watford and their surrounding areas. Ideally you will have some previous experience in a similar role, however full training and support is offered to people who have the right attitude towards caring for others and are serious about joining the industry. Westminster Homecare is committed to helping our clients remain independent in their own homes by supporting them with various daily tasks. Home Care Worker duties may include, Personal care, bathing, showering, dressing, medication administration, cleaning, shopping etc. Person specification: self motivated and organised, flexible, caring and sensitive, a good communicator, drivers preferably (but not essential). For those who are interested Westminster Home Care will also support you to undertake the NVQ diploma in Health and Social Care after a qualifying period.",care worker in watford,"home care worker watford area ( wd * * * * wd * * * * wd * * * * and wd * * * * ) westminst homecar are look for a number of home care assist job seeker in watford and their surround area . ideal you will have some previou experi in a similar role , howev full train and support is offer to peopl who have the right attitud toward care for other and are seriou about join the industri . westminst homecar is commit to help our client remain independ in their own home by support them with variou daili task . home care worker duti may includ , person care , bath , shower , dress , medic administr , clean , shop etc . person specif : self motiv and organis , flexibl , care and sensit , a good commun , driver prefer ( but not essenti ) . for those who are interest westminst home care will also support you to undertak the nvq diploma in health and social care after a qualifi period ."
6.0,Healthcare_Nursing,Occupational Therapist Reablement,71691917,,,occup therapist reablement,
7.0,Healthcare_Nursing,Night RGN required at Naseby Care and Nursing Home,68061775,Agincare Group,"At Naseby Care and Nursing Home we strive to preserve and maintain the dignity, individuality and privacy of all residents. As a RGN you will show warmth and support to our residents and their families; helping to promote their independence in a home from home environment. Located in Christchurch we require full and part time care workers to join our friendly team. You will need to:  Communicate professionally and warmly  Assists residents with all aspects of day to day living including personal care.  Able to work as part of a team. We offer:  Friendly working conditions  Excellent rates of pay  Real career progression opportunities This job was originally posted as www.totaljobs.com/JobSeeking/NightRGNrequiredatNasebyCareandNursingHome_job****",night rgn requir at nasebi care and nurs home,"at nasebi care and nurs home we strive to preserv and maintain the digniti , individu and privaci of all resid . as a rgn you will show warmth and support to our resid and their famili ; help to promot their independ in a home from home environ . locat in christchurch we requir full and part time care worker to join our friendli team . you will need to : commun profession and warmli assist resid with all aspect of day to day live includ person care . abl to work as part of a team . we offer : friendli work condit excel rate of pay real career progress opportun thi job wa origin post as www.totaljobs.com/jobseeking/nightrgnrequiredatnasebycareandnursinghome_job * * * *"
8.0,Healthcare_Nursing,Healthcare Assistant  HCA  Gwent  Newport,66932711,Thornbury Nursing,"Thornbury Community Services are looking for Health Care Assistants to work in and around the Gwent area working within our community based packages. We offer:   Varied shift patterns, with the opportunity for full or part time hours  Ongoing training & development  Outstanding rates of pay, including holiday pay paid on every shift worked Registered Nurse support available 24 hours a day from our Call Centre  Contributions towards travel expenses Access to a Stakeholder pension schemeThornbury Community Services are looking for experienced Health Care Assistants, ideally with a background in complex clinical care, who are motivated to progress within the community healthcare setting. You have to have a minimum of 6 months UK based paid clinical expertise within the last 3 years, along with the enthusiasm necessary to continue providing safe and competent care. Our clients are cared for in their own homes, along with the assistance of their families and other support services as appropriate. You may be required to work independently with the client, or in conjunction with family members or other health care professionals.To apply to join Thornbury Community Services, please click on ‘Apply to join’ or call us for a chat on **** **** to discuss this, or any of our other roles.",healthcar assist hca gwent newport,"thornburi commun servic are look for health care assist to work in and around the gwent area work within our commun base packag . we offer : vari shift pattern , with the opportun for full or part time hour ongo train & develop outstand rate of pay , includ holiday pay paid on everi shift work regist nurs support avail 24 hour a day from our call centr contribut toward travel expens access to a stakehold pension schemethornburi commun servic are look for experienc health care assist , ideal with a background in complex clinic care , who are motiv to progress within the commun healthcar set . you have to have a minimum of 6 month uk base paid clinic expertis within the last 3 year , along with the enthusiasm necessari to continu provid safe and compet care . our client are care for in their own home , along with the assist of their famili and other support servic as appropri . you may be requir to work independ with the client , or in conjunct with famili member or other health care professionals.to appli to join thornburi commun servic , pleas click on ‘ appli to join ’ or call us for a chat on * * * * * * * * to discuss thi , or ani of our other role ."
9.0,Healthcare_Nursing,Community Nurse RGN,69539327,Compass Associates,"Community Nurse RGN Cambridgeshire Permanent/Full Time Salary **** Compass Associates are working with a private Healthcare group to recruit a community nurse to join a busy team working across Surrey and Berkshire. The candidate will need to have 3 years post qualification experience, be skilled in IV treatment/therapy and also venepuncture. As well as working autonomously the ideal candidate will also need to support and mentor more junior members of the team occasionally. Close monitoring of the system for patient focussed care is essential including assessment, planning, delivery and evaluation of care in line with company policies. This requires the position to carry a clinical workload on a planned basis. Effective time management and keyboard skills are also essential. The candidate must be RGN Registered, with knowledge of infection control policies together with health and safety regulations and hold a full driving license. Applicants must have the right to work in the EU. Employment subject to enhanced CRB checks To apply for this position please call Ewan Buckle at Compass Associates on (Apply online only) or email your CV",commun nurs rgn,"commun nurs rgn cambridgeshir permanent/ful time salari * * * * compass associ are work with a privat healthcar group to recruit a commun nurs to join a busi team work across surrey and berkshir . the candid will need to have 3 year post qualif experi , be skill in iv treatment/therapi and also venepunctur . as well as work autonom the ideal candid will also need to support and mentor more junior member of the team occasion . close monitor of the system for patient focuss care is essenti includ assess , plan , deliveri and evalu of care in line with compani polici . thi requir the posit to carri a clinic workload on a plan basi . effect time manag and keyboard skill are also essenti . the candid must be rgn regist , with knowledg of infect control polici togeth with health and safeti regul and hold a full drive licens . applic must have the right to work in the eu . employ subject to enhanc crb check to appli for thi posit pleas call ewan buckl at compass associ on ( appli onlin onli ) or email your cv"
